,primary_care_case,primary_care_suspect_case,first_pos_test_sgss,a_e_consult_date,ons_covid_death_date,stp
2020-03-29,,0.0,0.0,,0.0,
2020-03-30,0.0,,0.0,,0.0,
2020-03-31,0.0,0.0,0.0,0.0,0.0,
2020-04-01,0.0,,0.0,,0.0,
2020-04-02,0.0,,0.0,,,
2020-04-03,0.0,0.0,0.0,,0.0,
2020-04-04,0.0,,0.0,,0.0,
2020-04-05,0.0,,0.0,,0.0,
2020-04-06,0.0,0.0,0.0,,0.0,
2020-04-07,0.0,,0.0,6.0,0.0,
2020-04-08,0.0,,0.0,,0.0,
2020-04-09,0.0,0.0,0.0,0.0,0.0,
2020-04-10,0.0,0.0,0.0,,0.0,
2020-04-11,0.0,,0.0,,0.0,
2020-04-12,0.0,0.0,0.0,,0.0,
2020-04-13,0.0,0.0,,,0.0,
2020-04-14,0.0,,,,0.0,
2020-04-15,0.0,0.0,0.0,,0.0,
2020-04-16,0.0,,0.0,,0.0,
2020-04-17,0.0,0.0,0.0,,0.0,
2020-04-18,0.0,0.0,0.0,0.0,0.0,
2020-04-19,0.0,0.0,,0.0,0.0,
2020-04-20,0.0,0.0,0.0,0.0,0.0,
2020-04-21,0.0,0.0,0.0,0.0,0.0,
2020-04-22,,,,0.0,0.0,
2020-04-23,0.0,0.0,,0.0,0.0,
2020-04-24,0.0,0.0,0.0,0.0,0.0,
2020-04-25,0.0,0.0,0.0,0.0,0.0,
2020-04-26,0.0,0.0,0.0,0.0,0.0,
2020-04-27,0.0,0.0,0.0,0.0,0.0,
2020-04-28,0.0,0.0,0.0,0.0,0.0,
2020-04-29,0.0,,,0.0,0.0,
2020-04-30,0.0,,0.0,0.0,0.0,
2020-05-01,0.0,,,0.0,,
2020-05-02,0.0,0.0,0.0,0.0,0.0,
2020-05-03,0.0,,0.0,0.0,0.0,
2020-05-04,0.0,,0.0,0.0,0.0,
2020-05-05,,0.0,0.0,0.0,0.0,
2020-05-06,,0.0,,0.0,0.0,
2020-05-07,0.0,0.0,0.0,0.0,0.0,
2020-05-08,0.0,0.0,0.0,0.0,0.0,
2020-05-09,0.0,0.0,0.0,0.0,0.0,
2020-05-10,0.0,0.0,0.0,0.0,0.0,
2020-05-11,0.0,0.0,0.0,0.0,,
2020-05-12,0.0,,0.0,0.0,0.0,
2020-05-13,0.0,0.0,0.0,0.0,0.0,
2020-05-14,0.0,0.0,0.0,0.0,0.0,
2020-05-15,,0.0,0.0,0.0,0.0,
2020-05-16,0.0,0.0,0.0,0.0,0.0,
2020-05-17,0.0,0.0,0.0,0.0,0.0,
2020-05-18,0.0,0.0,0.0,0.0,0.0,
2020-05-19,0.0,,0.0,0.0,0.0,
2020-05-20,0.0,0.0,0.0,0.0,0.0,
2020-05-21,0.0,0.0,,0.0,0.0,
2020-05-22,0.0,0.0,0.0,0.0,0.0,
2020-05-23,0.0,0.0,0.0,0.0,0.0,
2020-05-24,0.0,0.0,0.0,0.0,0.0,
2020-05-25,0.0,0.0,0.0,0.0,0.0,
2020-05-26,0.0,0.0,0.0,0.0,0.0,
2020-05-27,0.0,0.0,0.0,0.0,0.0,
2020-05-28,0.0,0.0,0.0,0.0,0.0,
2020-05-29,0.0,0.0,0.0,0.0,0.0,
2020-05-30,0.0,0.0,0.0,0.0,0.0,
2020-05-31,0.0,0.0,0.0,0.0,0.0,
2020-06-01,0.0,,0.0,0.0,0.0,
2020-06-02,0.0,0.0,,0.0,0.0,
2020-06-03,0.0,0.0,0.0,0.0,0.0,
2020-06-04,0.0,0.0,0.0,0.0,0.0,
2020-06-05,0.0,,0.0,0.0,0.0,
2020-06-06,0.0,0.0,0.0,0.0,0.0,
2020-06-07,0.0,0.0,0.0,0.0,0.0,
2020-06-08,0.0,0.0,0.0,0.0,0.0,
2020-06-09,0.0,0.0,,0.0,0.0,
2020-06-10,0.0,0.0,0.0,0.0,0.0,
2020-06-11,0.0,,0.0,0.0,0.0,
2020-06-12,0.0,,,0.0,0.0,
2020-06-13,,0.0,0.0,0.0,0.0,
2020-06-14,,0.0,,0.0,0.0,
2020-06-15,0.0,0.0,0.0,0.0,0.0,
2020-06-16,0.0,0.0,0.0,0.0,0.0,
2020-06-17,0.0,0.0,,0.0,0.0,
2020-06-18,0.0,0.0,0.0,0.0,0.0,
2020-06-19,0.0,,0.0,0.0,0.0,
2020-06-20,0.0,0.0,0.0,0.0,0.0,
2020-06-21,0.0,0.0,0.0,0.0,0.0,
2020-06-22,0.0,0.0,0.0,0.0,0.0,
2020-06-23,0.0,0.0,0.0,0.0,0.0,
2020-06-24,0.0,0.0,0.0,0.0,0.0,
2020-06-25,0.0,,0.0,0.0,0.0,
2020-06-26,0.0,0.0,0.0,0.0,0.0,
2020-06-27,0.0,0.0,0.0,0.0,0.0,
2020-06-28,0.0,,0.0,0.0,0.0,
2020-06-29,0.0,0.0,0.0,0.0,0.0,
2020-06-30,0.0,0.0,0.0,0.0,0.0,
2020-07-01,0.0,0.0,0.0,0.0,0.0,
2020-07-02,0.0,,0.0,0.0,0.0,
2020-07-03,0.0,,0.0,0.0,0.0,
2020-07-04,0.0,0.0,0.0,0.0,0.0,
2020-07-05,0.0,0.0,0.0,0.0,0.0,
2020-07-06,0.0,0.0,0.0,0.0,0.0,
2020-07-07,0.0,0.0,0.0,0.0,0.0,
2020-07-08,0.0,0.0,0.0,0.0,0.0,
2020-07-09,0.0,0.0,0.0,0.0,0.0,
2020-02-01,0.0,,0.0,1191.0,0.0,E54000005
2020-02-02,0.0,0.0,0.0,1327.0,0.0,E54000005
2020-02-03,0.0,0.0,0.0,1525.0,0.0,E54000005
2020-02-04,0.0,0.0,0.0,1264.0,0.0,E54000005
2020-02-05,0.0,0.0,0.0,1237.0,0.0,E54000005
2020-02-06,0.0,0.0,0.0,1167.0,0.0,E54000005
2020-02-07,0.0,0.0,0.0,1218.0,0.0,E54000005
2020-02-08,0.0,,0.0,1155.0,0.0,E54000005
2020-02-09,0.0,0.0,0.0,1163.0,0.0,E54000005
2020-02-10,0.0,,0.0,1328.0,0.0,E54000005
2020-02-11,0.0,,0.0,1124.0,0.0,E54000005
2020-02-12,0.0,,0.0,1254.0,0.0,E54000005
2020-02-13,0.0,,0.0,1181.0,0.0,E54000005
2020-02-14,,,0.0,1055.0,0.0,E54000005
2020-02-15,0.0,0.0,0.0,1181.0,0.0,E54000005
2020-02-16,0.0,,0.0,1214.0,0.0,E54000005
2020-02-17,,,0.0,1344.0,0.0,E54000005
2020-02-18,0.0,0.0,0.0,1249.0,0.0,E54000005
2020-02-19,,,0.0,1180.0,0.0,E54000005
2020-02-20,0.0,0.0,,1175.0,0.0,E54000005
2020-02-21,0.0,,0.0,1154.0,0.0,E54000005
2020-02-22,0.0,0.0,0.0,1165.0,0.0,E54000005
2020-02-23,0.0,0.0,0.0,1257.0,0.0,E54000005
2020-02-24,0.0,,0.0,1409.0,0.0,E54000005
2020-02-25,0.0,,0.0,1223.0,0.0,E54000005
2020-02-26,,6662.0,0.0,1321.0,0.0,E54000005
2020-02-27,,62.0,,1276.0,0.0,E54000005
2020-02-28,,60.0,0.0,1216.0,0.0,E54000005
2020-02-29,0.0,52.0,0.0,1234.0,0.0,E54000005
2020-03-01,,,0.0,1360.0,0.0,E54000005
2020-03-02,,9.0,0.0,1507.0,0.0,E54000005
2020-03-03,0.0,9.0,0.0,1349.0,0.0,E54000005
2020-03-04,,15.0,,1245.0,0.0,E54000005
2020-03-05,,8.0,0.0,1232.0,0.0,E54000005
2020-03-06,0.0,25.0,0.0,1282.0,0.0,E54000005
2020-03-07,0.0,,,1346.0,0.0,E54000005
2020-03-08,,,0.0,1319.0,0.0,E54000005
2020-03-09,,40.0,,1558.0,0.0,E54000005
2020-03-10,9.0,58.0,,1371.0,0.0,E54000005
2020-03-11,18.0,217.0,,1279.0,0.0,E54000005
2020-03-12,16.0,3851.0,9.0,1271.0,0.0,E54000005
2020-03-13,15.0,255.0,0.0,1151.0,0.0,E54000005
2020-03-14,,11.0,,1187.0,0.0,E54000005
2020-03-15,0.0,21.0,,1184.0,,E54000005
2020-03-16,28.0,487.0,,1263.0,,E54000005
2020-03-17,31.0,629.0,7.0,1020.0,,E54000005
2020-03-18,28.0,802.0,12.0,906.0,,E54000005
2020-03-19,21.0,720.0,8.0,890.0,0.0,E54000005
2020-03-20,19.0,1042.0,14.0,875.0,0.0,E54000005
2020-03-21,7.0,1507.0,17.0,822.0,,E54000005
2020-03-22,7.0,1032.0,19.0,717.0,,E54000005
2020-03-23,26.0,968.0,31.0,742.0,,E54000005
2020-03-24,33.0,621.0,34.0,636.0,,E54000005
2020-03-25,38.0,674.0,38.0,628.0,,E54000005
2020-03-26,43.0,786.0,54.0,641.0,8.0,E54000005
2020-03-27,50.0,848.0,61.0,605.0,11.0,E54000005
2020-03-28,33.0,52.0,59.0,551.0,14.0,E54000005
2020-03-29,25.0,50.0,73.0,569.0,20.0,E54000005
2020-03-30,59.0,1068.0,84.0,622.0,20.0,E54000005
2020-03-31,76.0,2246.0,82.0,616.0,21.0,E54000005
2020-04-01,71.0,2663.0,92.0,546.0,14.0,E54000005
2020-04-02,55.0,5226.0,82.0,503.0,31.0,E54000005
2020-04-03,75.0,1900.0,115.0,509.0,25.0,E54000005
2020-04-04,37.0,57.0,77.0,552.0,35.0,E54000005
2020-04-05,30.0,179.0,88.0,575.0,22.0,E54000005
2020-04-06,93.0,2303.0,132.0,617.0,32.0,E54000005
2020-04-07,73.0,1955.0,134.0,541.0,34.0,E54000005
2020-04-08,57.0,1434.0,123.0,545.0,45.0,E54000005
2020-04-09,75.0,1811.0,100.0,534.0,52.0,E54000005
2020-04-10,54.0,1333.0,95.0,540.0,46.0,E54000005
2020-04-11,40.0,83.0,79.0,622.0,33.0,E54000005
2020-04-12,39.0,77.0,90.0,653.0,37.0,E54000005
2020-04-13,63.0,1795.0,62.0,552.0,33.0,E54000005
2020-04-14,143.0,2887.0,62.0,574.0,36.0,E54000005
2020-04-15,74.0,1411.0,170.0,609.0,43.0,E54000005
2020-04-16,134.0,1589.0,165.0,367.0,57.0,E54000005
2020-04-17,112.0,1080.0,146.0,338.0,48.0,E54000005
2020-04-18,36.0,80.0,137.0,,46.0,E54000005
2020-04-19,26.0,78.0,175.0,0.0,51.0,E54000005
2020-04-20,167.0,1207.0,128.0,0.0,48.0,E54000005
2020-04-21,89.0,1066.0,137.0,0.0,35.0,E54000005
2020-04-22,91.0,1024.0,206.0,0.0,45.0,E54000005
2020-04-23,98.0,1015.0,149.0,0.0,41.0,E54000005
2020-04-24,99.0,966.0,209.0,0.0,36.0,E54000005
2020-04-25,29.0,87.0,124.0,0.0,32.0,E54000005
2020-04-26,32.0,82.0,111.0,0.0,36.0,E54000005
2020-04-27,135.0,1121.0,144.0,0.0,34.0,E54000005
2020-04-28,108.0,1093.0,167.0,0.0,23.0,E54000005
2020-04-29,115.0,1710.0,201.0,0.0,40.0,E54000005
2020-04-30,81.0,1130.0,155.0,0.0,33.0,E54000005
2020-05-01,109.0,1106.0,219.0,0.0,23.0,E54000005
2020-05-02,18.0,120.0,101.0,0.0,17.0,E54000005
2020-05-03,16.0,86.0,101.0,0.0,18.0,E54000005
2020-05-04,122.0,1148.0,109.0,0.0,33.0,E54000005
2020-05-05,90.0,842.0,141.0,0.0,22.0,E54000005
2020-05-06,103.0,1362.0,139.0,0.0,25.0,E54000005
2020-05-07,106.0,993.0,172.0,0.0,17.0,E54000005
2020-05-08,52.0,329.0,137.0,0.0,27.0,E54000005
2020-05-09,31.0,139.0,93.0,0.0,26.0,E54000005
2020-05-10,30.0,91.0,117.0,0.0,25.0,E54000005
2020-05-11,120.0,788.0,135.0,0.0,14.0,E54000005
2020-05-12,104.0,1001.0,148.0,0.0,14.0,E54000005
2020-05-13,73.0,980.0,148.0,0.0,19.0,E54000005
2020-05-14,84.0,876.0,122.0,0.0,11.0,E54000005
2020-05-15,89.0,716.0,102.0,0.0,18.0,E54000005
2020-05-16,20.0,85.0,101.0,0.0,21.0,E54000005
2020-05-17,22.0,87.0,87.0,0.0,15.0,E54000005
2020-05-18,94.0,791.0,98.0,0.0,14.0,E54000005
2020-05-19,69.0,724.0,166.0,0.0,13.0,E54000005
2020-05-20,70.0,621.0,99.0,0.0,13.0,E54000005
2020-05-21,74.0,679.0,154.0,0.0,12.0,E54000005
2020-05-22,52.0,690.0,83.0,0.0,14.0,E54000005
2020-05-23,17.0,183.0,80.0,0.0,11.0,E54000005
2020-05-24,10.0,41.0,49.0,0.0,9.0,E54000005
2020-05-25,12.0,39.0,67.0,0.0,10.0,E54000005
2020-05-26,65.0,662.0,78.0,0.0,12.0,E54000005
2020-05-27,41.0,521.0,84.0,0.0,7.0,E54000005
2020-05-28,33.0,488.0,82.0,0.0,11.0,E54000005
2020-05-29,34.0,435.0,72.0,0.0,13.0,E54000005
2020-05-30,11.0,36.0,70.0,0.0,12.0,E54000005
2020-05-31,8.0,42.0,67.0,0.0,12.0,E54000005
2020-06-01,58.0,545.0,71.0,0.0,10.0,E54000005
2020-06-02,56.0,582.0,59.0,0.0,0.0,E54000005
2020-06-03,23.0,589.0,68.0,0.0,0.0,E54000005
2020-06-04,29.0,502.0,68.0,0.0,0.0,E54000005
2020-06-05,35.0,517.0,52.0,0.0,0.0,E54000005
2020-06-06,14.0,30.0,38.0,0.0,0.0,E54000005
2020-06-07,7.0,44.0,52.0,0.0,0.0,E54000005
2020-06-08,42.0,589.0,71.0,0.0,0.0,E54000005
2020-06-09,54.0,456.0,56.0,0.0,0.0,E54000005
2020-06-10,29.0,372.0,99.0,0.0,0.0,E54000005
2020-06-11,26.0,342.0,75.0,0.0,0.0,E54000005
2020-06-12,33.0,372.0,114.0,0.0,0.0,E54000005
2020-06-13,101.0,91.0,69.0,0.0,0.0,E54000005
2020-06-14,49.0,85.0,67.0,0.0,0.0,E54000005
2020-06-15,119.0,434.0,77.0,0.0,0.0,E54000005
2020-06-16,71.0,341.0,90.0,0.0,0.0,E54000005
2020-06-17,103.0,468.0,98.0,0.0,0.0,E54000005
2020-06-18,95.0,314.0,112.0,0.0,0.0,E54000005
2020-06-19,104.0,404.0,77.0,0.0,0.0,E54000005
2020-06-20,70.0,124.0,68.0,0.0,0.0,E54000005
2020-06-21,65.0,70.0,49.0,0.0,0.0,E54000005
2020-06-22,67.0,370.0,63.0,0.0,0.0,E54000005
2020-06-23,77.0,362.0,73.0,0.0,0.0,E54000005
2020-06-24,78.0,387.0,64.0,0.0,0.0,E54000005
2020-06-25,72.0,323.0,71.0,0.0,0.0,E54000005
2020-06-26,63.0,466.0,63.0,0.0,0.0,E54000005
2020-06-27,66.0,163.0,59.0,0.0,0.0,E54000005
2020-06-28,47.0,96.0,49.0,0.0,0.0,E54000005
2020-06-29,68.0,357.0,51.0,0.0,0.0,E54000005
2020-06-30,67.0,503.0,39.0,0.0,0.0,E54000005
2020-07-01,84.0,363.0,66.0,0.0,0.0,E54000005
2020-07-02,70.0,327.0,47.0,0.0,0.0,E54000005
2020-07-03,76.0,383.0,46.0,0.0,0.0,E54000005
2020-07-04,40.0,109.0,33.0,0.0,0.0,E54000005
2020-07-05,42.0,154.0,36.0,0.0,0.0,E54000005
2020-07-06,68.0,786.0,58.0,0.0,0.0,E54000005
2020-07-07,55.0,398.0,38.0,0.0,0.0,E54000005
2020-07-08,56.0,314.0,32.0,0.0,0.0,E54000005
2020-07-09,,76.0,,0.0,0.0,E54000005
2020-02-01,0.0,0.0,0.0,670.0,0.0,E54000006
2020-02-02,0.0,0.0,0.0,666.0,0.0,E54000006
2020-02-03,,0.0,0.0,841.0,0.0,E54000006
2020-02-04,,0.0,0.0,755.0,0.0,E54000006
2020-02-05,,0.0,0.0,802.0,0.0,E54000006
2020-02-06,0.0,0.0,0.0,774.0,0.0,E54000006
2020-02-07,0.0,,0.0,662.0,0.0,E54000006
2020-02-08,0.0,0.0,0.0,705.0,0.0,E54000006
2020-02-09,0.0,0.0,0.0,595.0,0.0,E54000006
2020-02-10,0.0,0.0,0.0,805.0,0.0,E54000006
2020-02-11,0.0,,0.0,751.0,0.0,E54000006
2020-02-12,0.0,,0.0,735.0,0.0,E54000006
2020-02-13,,,0.0,792.0,0.0,E54000006
2020-02-14,,0.0,0.0,665.0,0.0,E54000006
2020-02-15,0.0,,0.0,726.0,0.0,E54000006
2020-02-16,,0.0,0.0,655.0,0.0,E54000006
2020-02-17,,,0.0,788.0,0.0,E54000006
2020-02-18,,,0.0,720.0,0.0,E54000006
2020-02-19,,,0.0,688.0,0.0,E54000006
2020-02-20,0.0,0.0,0.0,691.0,0.0,E54000006
2020-02-21,,0.0,0.0,709.0,0.0,E54000006
2020-02-22,0.0,0.0,0.0,694.0,0.0,E54000006
2020-02-23,,0.0,0.0,734.0,0.0,E54000006
2020-02-24,,0.0,0.0,836.0,0.0,E54000006
2020-02-25,0.0,,0.0,807.0,0.0,E54000006
2020-02-26,0.0,7.0,0.0,745.0,0.0,E54000006
2020-02-27,,6.0,0.0,698.0,0.0,E54000006
2020-02-28,0.0,9.0,0.0,698.0,0.0,E54000006
2020-02-29,,,0.0,687.0,0.0,E54000006
2020-03-01,,,,726.0,0.0,E54000006
2020-03-02,,,0.0,869.0,0.0,E54000006
2020-03-03,,9.0,0.0,815.0,0.0,E54000006
2020-03-04,0.0,11.0,0.0,807.0,0.0,E54000006
2020-03-05,0.0,7.0,0.0,738.0,0.0,E54000006
2020-03-06,0.0,14.0,0.0,745.0,0.0,E54000006
2020-03-07,0.0,,0.0,726.0,0.0,E54000006
2020-03-08,0.0,,0.0,747.0,0.0,E54000006
2020-03-09,0.0,25.0,,851.0,0.0,E54000006
2020-03-10,0.0,18.0,,817.0,0.0,E54000006
2020-03-11,0.0,26.0,0.0,814.0,0.0,E54000006
2020-03-12,,21.0,,718.0,0.0,E54000006
2020-03-13,0.0,162.0,,697.0,0.0,E54000006
2020-03-14,0.0,8.0,,609.0,0.0,E54000006
2020-03-15,0.0,,0.0,676.0,0.0,E54000006
2020-03-16,,359.0,,783.0,0.0,E54000006
2020-03-17,,673.0,,591.0,0.0,E54000006
2020-03-18,0.0,529.0,,506.0,0.0,E54000006
2020-03-19,,641.0,,505.0,,E54000006
2020-03-20,,574.0,,525.0,0.0,E54000006
2020-03-21,,49.0,9.0,438.0,0.0,E54000006
2020-03-22,,20.0,,434.0,0.0,E54000006
2020-03-23,,645.0,8.0,447.0,0.0,E54000006
2020-03-24,8.0,567.0,11.0,349.0,0.0,E54000006
2020-03-25,,547.0,16.0,410.0,,E54000006
2020-03-26,7.0,539.0,18.0,415.0,,E54000006
2020-03-27,11.0,634.0,17.0,345.0,,E54000006
2020-03-28,,39.0,12.0,380.0,,E54000006
2020-03-29,15.0,20.0,15.0,333.0,,E54000006
2020-03-30,54.0,804.0,27.0,414.0,,E54000006
2020-03-31,14.0,699.0,33.0,374.0,,E54000006
2020-04-01,25.0,1011.0,41.0,337.0,6.0,E54000006
2020-04-02,24.0,878.0,25.0,349.0,,E54000006
2020-04-03,30.0,1005.0,48.0,368.0,7.0,E54000006
2020-04-04,11.0,89.0,31.0,362.0,8.0,E54000006
2020-04-05,10.0,28.0,23.0,416.0,10.0,E54000006
2020-04-06,17.0,849.0,44.0,426.0,13.0,E54000006
2020-04-07,23.0,775.0,45.0,380.0,8.0,E54000006
2020-04-08,19.0,481.0,44.0,383.0,13.0,E54000006
2020-04-09,26.0,816.0,51.0,370.0,10.0,E54000006
2020-04-10,14.0,406.0,39.0,415.0,8.0,E54000006
2020-04-11,16.0,82.0,36.0,433.0,,E54000006
2020-04-12,11.0,27.0,38.0,449.0,10.0,E54000006
2020-04-13,17.0,787.0,54.0,355.0,9.0,E54000006
2020-04-14,39.0,1300.0,70.0,314.0,9.0,E54000006
2020-04-15,35.0,928.0,75.0,321.0,13.0,E54000006
2020-04-16,29.0,830.0,41.0,312.0,14.0,E54000006
2020-04-17,30.0,701.0,57.0,273.0,15.0,E54000006
2020-04-18,13.0,33.0,52.0,0.0,11.0,E54000006
2020-04-19,14.0,31.0,54.0,0.0,10.0,E54000006
2020-04-20,43.0,694.0,74.0,0.0,20.0,E54000006
2020-04-21,27.0,711.0,61.0,0.0,15.0,E54000006
2020-04-22,28.0,654.0,88.0,0.0,15.0,E54000006
2020-04-23,21.0,798.0,93.0,0.0,13.0,E54000006
2020-04-24,35.0,529.0,113.0,0.0,16.0,E54000006
2020-04-25,25.0,42.0,76.0,0.0,14.0,E54000006
2020-04-26,20.0,36.0,113.0,0.0,9.0,E54000006
2020-04-27,35.0,830.0,87.0,0.0,9.0,E54000006
2020-04-28,35.0,673.0,103.0,0.0,11.0,E54000006
2020-04-29,39.0,527.0,138.0,0.0,16.0,E54000006
2020-04-30,29.0,573.0,124.0,0.0,19.0,E54000006
2020-05-01,43.0,470.0,124.0,0.0,19.0,E54000006
2020-05-02,14.0,62.0,73.0,0.0,15.0,E54000006
2020-05-03,21.0,39.0,83.0,0.0,12.0,E54000006
2020-05-04,37.0,612.0,87.0,0.0,8.0,E54000006
2020-05-05,29.0,491.0,91.0,0.0,9.0,E54000006
2020-05-06,39.0,444.0,71.0,0.0,12.0,E54000006
2020-05-07,45.0,1380.0,84.0,0.0,17.0,E54000006
2020-05-08,26.0,78.0,55.0,0.0,13.0,E54000006
2020-05-09,13.0,82.0,45.0,0.0,12.0,E54000006
2020-05-10,13.0,63.0,53.0,0.0,9.0,E54000006
2020-05-11,38.0,546.0,76.0,0.0,9.0,E54000006
2020-05-12,43.0,498.0,62.0,0.0,9.0,E54000006
2020-05-13,40.0,351.0,55.0,0.0,6.0,E54000006
2020-05-14,25.0,455.0,69.0,0.0,6.0,E54000006
2020-05-15,29.0,380.0,64.0,0.0,13.0,E54000006
2020-05-16,6.0,57.0,43.0,0.0,6.0,E54000006
2020-05-17,14.0,48.0,49.0,0.0,6.0,E54000006
2020-05-18,31.0,515.0,48.0,0.0,,E54000006
2020-05-19,25.0,441.0,44.0,0.0,8.0,E54000006
2020-05-20,31.0,390.0,36.0,0.0,7.0,E54000006
2020-05-21,23.0,379.0,66.0,0.0,6.0,E54000006
2020-05-22,43.0,318.0,40.0,0.0,11.0,E54000006
2020-05-23,9.0,25.0,34.0,0.0,,E54000006
2020-05-24,8.0,31.0,39.0,0.0,10.0,E54000006
2020-05-25,,27.0,58.0,0.0,10.0,E54000006
2020-05-26,28.0,359.0,27.0,0.0,,E54000006
2020-05-27,11.0,328.0,37.0,0.0,11.0,E54000006
2020-05-28,21.0,309.0,37.0,0.0,6.0,E54000006
2020-05-29,10.0,235.0,23.0,0.0,,E54000006
2020-05-30,,27.0,20.0,0.0,8.0,E54000006
2020-05-31,,24.0,13.0,0.0,,E54000006
2020-06-01,16.0,384.0,15.0,0.0,,E54000006
2020-06-02,14.0,314.0,18.0,0.0,0.0,E54000006
2020-06-03,10.0,293.0,17.0,0.0,0.0,E54000006
2020-06-04,152.0,318.0,18.0,0.0,0.0,E54000006
2020-06-05,7.0,318.0,15.0,0.0,0.0,E54000006
2020-06-06,0.0,32.0,,0.0,0.0,E54000006
2020-06-07,,35.0,,0.0,0.0,E54000006
2020-06-08,6.0,367.0,11.0,0.0,0.0,E54000006
2020-06-09,,273.0,8.0,0.0,0.0,E54000006
2020-06-10,,245.0,20.0,0.0,0.0,E54000006
2020-06-11,,295.0,15.0,0.0,0.0,E54000006
2020-06-12,9.0,262.0,18.0,0.0,0.0,E54000006
2020-06-13,12.0,59.0,22.0,0.0,0.0,E54000006
2020-06-14,16.0,39.0,14.0,0.0,0.0,E54000006
2020-06-15,26.0,431.0,15.0,0.0,0.0,E54000006
2020-06-16,15.0,321.0,31.0,0.0,0.0,E54000006
2020-06-17,22.0,341.0,14.0,0.0,0.0,E54000006
2020-06-18,19.0,356.0,16.0,0.0,0.0,E54000006
2020-06-19,9.0,277.0,6.0,0.0,0.0,E54000006
2020-06-20,7.0,60.0,13.0,0.0,0.0,E54000006
2020-06-21,9.0,30.0,6.0,0.0,0.0,E54000006
2020-06-22,7.0,384.0,6.0,0.0,0.0,E54000006
2020-06-23,7.0,377.0,8.0,0.0,0.0,E54000006
2020-06-24,,290.0,,0.0,0.0,E54000006
2020-06-25,8.0,307.0,,0.0,0.0,E54000006
2020-06-26,,317.0,,0.0,0.0,E54000006
2020-06-27,,68.0,,0.0,0.0,E54000006
2020-06-28,,31.0,,0.0,0.0,E54000006
2020-06-29,,447.0,,0.0,0.0,E54000006
2020-06-30,,414.0,,0.0,0.0,E54000006
2020-07-01,,327.0,,0.0,0.0,E54000006
2020-07-02,,368.0,,0.0,0.0,E54000006
2020-07-03,,286.0,,0.0,0.0,E54000006
2020-07-04,,30.0,,0.0,0.0,E54000006
2020-07-05,,35.0,,0.0,0.0,E54000006
